,variable,Name,HeatShock,Treatment,Time,Replicate
D3-T37-Initial,D3-T37-Initial,T37,No,37,3,3
D3-T50-Initial,D3-T50-Initial,T50,No,50,3,3
D3-T65-Initial,D3-T65-Initial,T60,No,65,3,3
D3-T80-Initial,D3-T80-Initial,T80,No,80,3,3
D20-T50-bef-1,D20-T50-bef-1,T50-1,No,50,20,20-1
D20-T50-bef-2,D20-T50-bef-2,T50-2,No,50,20,20-2
D43-T37-1,D43-T37-1,T37-1,No,37,43,43-1
D43-T37-2,D43-T37-2,T37-2,No,37,43,43-2
D43-T50-1,D43-T50-1,T50-1,No,50,43,43-1
D43-T50-2,D43-T50-2,T50-2,No,50,43,43-2
D43-T65-1,D43-T65-1,T65-1,No,65,43,43-1
D43-T65-2,D43-T65-2,T65-2,No,65,43,43-2
D43-T80-1,D43-T80-1,T80-1,No,80,43,43-1
D43-T80-2,D43-T80-2,T80-2,No,80,43,43-2
D70-T37-1,D70-T37-1,T37-1,No,37,70,70-1
D70-T37-2,D70-T37-2,T37-2,No,37,70,70-2
D70-T50-1,D70-T50-1,T50-1,No,50,70,70-1
D70-T50-2,D70-T50-2,T50-2,No,50,70,70-2
D70-T65-1,D70-T65-1,T65-1,No,65,70,70-1
D70-T65-2,D70-T65-2,T65-2,No,65,70,70-2
D70-T80-1,D70-T80-1,T80-1,No,80,70,70-1
D70-T80-2,D70-T80-2,T80-2,No,80,70,70-2
D76-T50-bef-1,D76-T50-bef-1,T50-1,No,50,76,76-1
D76-T50-bef-2,D76-T50-bef-2,T50-2,No,50,76,76-2
D76-T65-bef-1,D76-T65-bef-1,T65-1,No,65,76,76-1
D76-T80-bef-1,D76-T80-bef-1,T80-1,No,80,76,76-1
D96-T37-1,D96-T37-1,T37-1,No,37,96,96-1
D96-T37-2,D96-T37-2,T37-2,No,37,96,96-2
D96-T50-1,D96-T50-1,T50-1,No,50,96,96-1
D96-T50-2,D96-T50-2,T50-2,No,50,96,96-2
D96-T65-1,D96-T65-1,T65-1,No,65,96,96-1
D96-T65-bef-2,D96-T65-bef-2,T65-2,No,65,96,96-2
D96-T80-1,D96-T80-1,T80-1,No,80,96,96-1
D96-T80-2,D96-T80-2,T80-2,No,80,96,96-2
D135-T37-1,D135-T37-1,T37-1,No,37,135,135-1
D135-T37-2,D135-T37-2,T37-2,No,37,135,135-2
D135-T50-1,D135-T50-1,T50-1,No,50,135,135-1
D135-T50-2,D135-T50-2,T50-2,No,50,135,135-2
D135-T65-1,D135-T65-1,T65-1,No,65,135,135-1
D135-T65-2,D135-T65-2,T65-2,No,65,135,135-2
D135-T80-1,D135-T80-1,T80-1,No,80,135,135-1
D135-T80-2,D135-T80-2,T80-2,No,80,135,135-2
